user_id,keyword_cd,created_at
gimyejun@naver.com,2,2024-12-26 17:17:28
gimyejun@naver.com,1,2024-12-26 17:17:28
gimyejun@naver.com,5,2024-12-26 17:17:28
gimyejun@naver.com,10,2024-12-26 17:17:28
gimyejun@naver.com,7,2024-12-26 17:17:28
coedoyun@daum.net,2,2024-12-26 17:17:28
coedoyun@daum.net,9,2024-12-26 17:17:28
coedoyun@daum.net,10,2024-12-26 17:17:28
lgim@naver.com,7,2024-12-26 17:17:28
lgim@naver.com,1,2024-12-26 17:17:28
lgim@naver.com,9,2024-12-26 17:17:28
lgim@naver.com,8,2024-12-26 17:17:28
lgim@naver.com,2,2024-12-26 17:17:28
ji@hanmail.net,9,2024-12-26 17:17:28
ji@hanmail.net,1,2024-12-26 17:17:28
ji@hanmail.net,4,2024-12-26 17:17:28
sumin07@naver.com,9,2024-12-26 17:17:28
sumin07@naver.com,7,2024-12-26 17:17:28
sumin07@naver.com,4,2024-12-26 17:17:28
sumin07@naver.com,8,2024-12-26 17:17:28
sumin07@naver.com,5,2024-12-26 17:17:28
seoyeong10@daum.net,1,2024-12-26 17:17:28
seoyeong10@daum.net,3,2024-12-26 17:17:28
seoyeong10@daum.net,7,2024-12-26 17:17:28
seoyeong10@daum.net,9,2024-12-26 17:17:28
ihyeonu@hanmail.net,3,2024-12-26 17:17:28
ihyeonu@hanmail.net,4,2024-12-26 17:17:28
ihyeonu@hanmail.net,6,2024-12-26 17:17:28
ihyeonu@hanmail.net,1,2024-12-26 17:17:28
gangseongho@kakao.com,7,2024-12-26 17:17:28
gangseongho@kakao.com,2,2024-12-26 17:17:28
gangseongho@kakao.com,6,2024-12-26 17:17:28
yeongsunhong@hanmail.net,10,2024-12-26 17:17:28
yeongsunhong@hanmail.net,5,2024-12-26 17:17:28
yeongsunhong@hanmail.net,1,2024-12-26 17:17:28
yeongsunhong@hanmail.net,6,2024-12-26 17:17:28
gimhayun@daum.net,9,2024-12-26 17:17:28
gimhayun@daum.net,2,2024-12-26 17:17:28
gimhayun@daum.net,7,2024-12-26 17:17:28
gimhayun@daum.net,1,2024-12-26 17:17:28
igim@gmail.com,5,2024-12-26 17:17:28
igim@gmail.com,6,2024-12-26 17:17:28
igim@gmail.com,4,2024-12-26 17:17:28
igim@gmail.com,9,2024-12-26 17:17:28
igim@gmail.com,1,2024-12-26 17:17:28
ii@gmail.com,4,2024-12-26 17:17:28
ii@gmail.com,5,2024-12-26 17:17:28
ii@gmail.com,2,2024-12-26 17:17:28
eunyeongi@kakao.com,2,2024-12-26 17:17:28
eunyeongi@kakao.com,7,2024-12-26 17:17:28
